nu,I
1359388739.34114,0.0
1359420040.78398,0.0
1359451342.94756,-1.0168910106364605e-31
1359482645.83192,0.0
1359513949.43706,0.0
1359545253.763,0.0
1359576558.80976,-1.0168910106364605e-31
1359607864.57735,0.0
1359639171.06579,0.0
1359670478.2751,-9.860761315262648e-32
1359701786.20529,-1.0168910106364605e-31
1359733094.85638,-1.0168910106364605e-31
1359764404.22839,0.0
1359795714.32133,0.0
1359827025.13522,-1.0168910106364605e-31
1359858336.67007,-1.0168910106364605e-31
1359889648.92592,-1.0168910106364605e-31
1359920961.90276,0.0
1359952275.60061,0.0
1359983590.0195,-1.0168910106364605e-31
1360014905.15944,0.0
1360046221.02045,-1.0168910106364605e-31
1360077537.60253,0.0
1360108854.90572,-1.0168910106364605e-31
1360140172.93002,-9.860761315262648e-32
1360171491.67546,0.0
1360202811.14204,-9.860761315262648e-32
1360234131.32979,0.0
1360265452.23872,0.0
1360296773.86885,0.0
1360328096.22019,-9.860761315262648e-32
1360359419.29278,-1.0168910106364605e-31
1360390743.0866,0.0
1360422067.60169,-9.860761315262648e-32
1360453392.83807,-1.0168910106364605e-31
1360484718.79574,-1.0168910106364605e-31
1360516045.47473,0.0
1360547372.87505,-1.0168910106364605e-31
1360578700.99671,-1.0168910106364605e-31
1360610029.83975,-1.0168910106364605e-31
1360641359.40416,0.0
1360672689.68998,-9.860761315262648e-32
1360704020.6972,0.0
1360735352.42586,-1.0168910106364605e-31
1360766684.87597,-9.860761315262648e-32
1360798018.04754,-9.860761315262648e-32
1360829351.94059,0.0
1360860686.55514,0.0
1360892021.89121,-9.860761315262648e-32
1360923357.94881,-9.860761315262648e-32
1360954694.72795,0.0
1360986032.22866,1.0168910106364605e-31
1361017370.45094,-1.0168910106364605e-31
1361048709.39483,0.0
1361080049.06033,0.0
1361111389.44746,0.0
1361142730.55624,0.0
1361174072.38668,-9.860761315262648e-32
1361205414.93881,0.0
1361236758.21263,-9.860761315262648e-32
1361268102.20817,0.0
1361299446.92543,0.0
1361330792.36444,0.0
1361362138.52522,-9.860761315262648e-32
1361393485.40778,-9.860761315262648e-32
1361424833.01213,-1.0168910106364605e-31
1361456181.33829,0.0
1361487530.38629,0.0
1361518880.15614,0.0
