nu,I
1357824585.78968,-1.0168910106364605e-31
1357855851.21613,0.0
1357887117.36251,0.0
1357918384.22883,0.0
1357949651.8151,0.0
1357980920.12134,0.0
1358012189.14757,-9.860761315262648e-32
1358043458.8938,0.0
1358074729.36006,0.0
1358106000.54635,0.0
1358137272.45269,-1.0168910106364605e-31
1358168545.07911,-9.860761315262648e-32
1358199818.42561,-1.0168910106364605e-31
1358231092.49222,-9.860761315262648e-32
1358262367.27894,-9.860761315262648e-32
1358293642.78581,-9.860761315262648e-32
1358324919.01283,0.0
1358356195.96002,0.0
1358387473.62739,0.0
1358418752.01496,0.0
1358450031.12276,0.0
1358481310.9508,0.0
1358512591.49908,0.0
1358543872.76764,0.0
1358575154.75648,0.0
1358606437.46563,-1.0168910106364605e-31
1358637720.89509,-1.0168910106364605e-31
1358669005.04489,0.0
1358700289.91504,-1.0168910106364605e-31
1358731575.50556,-1.0168910106364605e-31
1358762861.81647,-9.860761315262648e-32
1358794148.84778,0.0
1358825436.59951,0.0
1358856725.07167,-1.0168910106364605e-31
1358888014.26428,-1.0168910106364605e-31
1358919304.17737,0.0
1358950594.81094,-9.860761315262648e-32
1358981886.16501,-1.0168910106364605e-31
1359013178.2396,-1.0168910106364605e-31
1359044471.03472,0.0
1359075764.5504,1.0168910106364605e-31
1359107058.78664,0.0
1359138353.74347,0.0
1359169649.4209,-9.860761315262648e-32
1359200945.81895,0.0
1359232242.93763,-9.860761315262648e-32
1359263540.77696,0.0
1359294839.33696,0.0
1359326138.61765,0.0
1359357438.61904,-9.860761315262648e-32
1359388739.34114,0.0
1359420040.78398,1.0168910106364605e-31
1359451342.94757,0.0
1359482645.83192,0.0
1359513949.43706,-1.0168910106364605e-31
1359545253.763,0.0
1359576558.80976,0.0
1359607864.57735,-9.860761315262648e-32
1359639171.06579,0.0
1359670478.2751,-9.860761315262648e-32
1359701786.20529,-1.0168910106364605e-31
1359733094.85638,-1.0168910106364605e-31
1359764404.22839,0.0
1359795714.32133,-9.860761315262648e-32
1359827025.13522,0.0
1359858336.67008,-1.0168910106364605e-31
1359889648.92592,-9.860761315262648e-32
1359920961.90275,0.0
1359952275.60061,9.860761315262648e-32
1359983590.0195,0.0
1360014905.15944,0.0
1360046221.02044,0.0
1360077537.60253,0.0
1360108854.90572,-1.0168910106364605e-31
1360140172.93002,0.0
1360171491.67545,-2.0029671421627253e-31
1360202811.14204,0.0
1360234131.32979,-1.0168910106364605e-31
1360265452.23872,-9.860761315262648e-32
1360296773.86885,0.0
1360328096.2202,0.0
1360359419.29277,2.0029671421627253e-31
1360390743.0866,2.98904327368899e-31
1360422067.60169,4.992010415851715e-31
1360453392.83807,1.1000911842339891e-30
1360484718.79574,1.7995889400354332e-30
1360516045.47473,3.198584451638321e-30
1360547372.87505,5.599063534322572e-30
1360578700.99672,9.70052394388963e-30
1360610029.83975,1.6297989561382545e-29
1360641359.40416,2.7600887219002354e-29
1360672689.68998,4.609905914885288e-29
1360704020.6972,7.630072216475576e-29
1360735352.42586,1.251022462115728e-28
1360766684.87597,2.0310086821530034e-28
1360798018.04754,3.264990516120793e-28
1360829351.9406,5.200010849845537e-28
1360860686.55514,8.203013263771446e-28
1360892021.89121,1.2818989709841442e-27
1360923357.9488,1.984200880784616e-27
1360954694.72795,3.0419986434398615e-27
1360986032.22866,4.6198005725675716e-27
1361017370.45095,6.949602648524677e-27
1361048709.39483,1.0355300065638446e-26
1361080049.06033,1.52838996232572e-26
1361111389.44746,2.234470084453893e-26
1361142730.55625,3.235810058198602e-26
1361174072.38669,4.6415401616310236e-26
1361205414.93881,6.594909831419516e-26
1361236758.21263,9.281609837230909e-26
1361268102.20817,1.2939160034651428e-25
1361299446.92543,1.7867190133304226e-25
1361330792.36444,2.443847019097567e-25
1361362138.52522,3.310995004405657e-25
1361393485.40777,4.443342002311914e-25
1361424833.01213,5.906458994074923e-25
1361456181.3383,7.7769719837233275e-25
1361487530.38629,1.0142836990037007e-24
1361518880.15613,1.3103081971934531e-24
1361550230.64785,1.6766877975572138e-24
1361581581.86143,2.12517770162967e-24
1361612933.79692,2.668099898261446e-24
1361644286.45431,3.3179683992223425e-24
1361675639.83364,4.0870053993769854e-24
1361706993.93491,4.986553399665627e-24
1361738348.75815,6.026393797682382e-24
1361769704.30337,7.213993898370777e-24
1361801060.57058,8.553714500162971e-24
1361832417.5598,1.0046017102095959e-23
1361863775.27106,1.1686724399098218e-23
1361895133.70437,1.3466384000958407e-23
1361926492.85973,1.536979700165283e-23
1361957852.73717,1.7375765898226877e-23
1361989213.33671,1.945710960072264e-23
1362020574.65837,2.1580983102653314e-23
1362051936.70215,2.37095221991484e-23
1362083299.46808,2.5800812799791004e-23
1362114662.95617,2.781016139835015e-23
1362146027.16645,2.969162179904778e-23
1362177392.09891,3.139970889838644e-23
1362208757.75359,3.2891211299538697e-23
1362240124.1305,3.4127006700075686e-23
1362271491.22965,3.507377020107227e-23
1362302859.05107,3.5705473999480583e-23
1362334227.59477,3.600458210256355e-23
1362365596.86076,3.596286620112314e-23
1362396966.84906,3.558178719776308e-23
1362428337.5597,3.4872419300597175e-23
1362459708.99268,3.385492219826647e-23
1362491081.14802,3.255759579811515e-23
1362522454.02574,3.1015580201907633e-23
1362553827.62585,2.9269284501365075e-23
1362585201.94838,2.736263959917172e-23
1362616576.99334,2.5341284500657258e-23
1362647952.76074,2.3250784800864873e-23
1362679329.2506,2.113498029828872e-23
1362710706.46294,1.903454289859091e-23
1362742084.39779,1.6985802499914677e-23
1362773463.05514,1.5019881399848682e-23
1362804842.43501,1.3162151300279241e-23
1362836222.53744,1.1432008001320222e-23
1362867603.36242,9.842936599434262e-24
1362898984.90999,8.402829099473252e-24
1362930367.18015,7.114503300264687e-24
1362961750.17292,5.9763671017755345e-24
1362993133.88832,4.9831719011730785e-24
1363024518.32636,4.126802199450221e-24
1363055903.48707,3.397054499880284e-24
1363087289.37045,2.782367398784793e-24
1363118675.97653,2.2704732986562395e-24
1363150063.30532,1.8489555997206675e-24
1363181451.35685,1.5056989977661078e-24
1363212840.13111,1.2292337017496799e-24
1363244229.62813,1.0089782981858104e-24
1363275619.84794,8.353912987216976e-25
1363307010.79054,7.000439002298657e-25
1363338402.45595,5.956302030220785e-25
1363369794.84419,5.159281006047724e-25
1363401187.95527,4.557256999107167e-25
1363432581.78922,4.1072520044660605e-25
1363463976.34604,3.774364011523427e-25
1363495371.62576,3.530645003447088e-25
1363526767.62839,3.3540420038530404e-25
1363558164.35394,3.2273799700906677e-25
1363589561.80244,3.1374559898712944e-25
1363620959.97391,3.0742640097246533e-25
1363652358.86835,3.0303019932569716e-25
1363683758.48579,3.0000269908287864e-25
1363715158.82623,2.979380991010076e-25
1363746559.88971,2.9654420037040955e-25
1363777961.67623,2.956120995811327e-25
1363809364.18581,2.949948005153577e-25
1363840767.41847,2.9458970195159926e-25
1363872171.37422,2.9432619775735215e-25
1363903576.05309,2.941559979355628e-25
1363934981.45508,2.9404689785607316e-25
1363966387.58021,2.9397729937011487e-25
1363997794.42851,2.939329012922929e-25
1364029201.99998,2.9390439752911597e-25
1364060610.29465,2.9388579766808505e-25
1364092019.31253,2.9387360113893324e-25
1364123429.05364,2.9386499762468567e-25
1364154839.51799,2.938588007524966e-25
1364186250.7056,2.9385399979433124e-25
1364217662.6165,2.938501017121238e-25
1364249075.25068,2.938466011418569e-25
1364280488.60818,2.9384339947591734e-25
1364311902.689,2.938404011881799e-25
1364343317.49317,2.938373998189546e-25
1364374733.0207,2.938345001388303e-25
1364406149.27161,2.938317021478071e-25
1364437566.24591,2.9382870077858177e-25
1364468983.94362,2.938260013951717e-25
1364500402.36476,2.9382310171504745e-25
1364531821.50934,2.9382019895343527e-25
1364563241.37739,2.93817299273311e-25
1364594661.96891,2.9381439959318673e-25
1364626083.28392,2.938115985206756e-25
1364657505.32245,2.9380870192203926e-25
1364688928.08451,2.9380590084952814e-25
1364720351.5701,2.9380299808791596e-25
1364751775.77926,2.938001014892796e-25
1364783200.712,2.937973004167685e-25
1364814626.36833,2.9379449934425737e-25
1364846052.74827,2.937915996641331e-25
1364877479.85184,2.9378869998400883e-25
1364908907.67906,2.9378560000717034e-25
1364940336.22993,2.9378280201614714e-25
1364971765.50448,2.93780000943636e-25
1365003195.50273,2.937769995744107e-25
1365034626.22468,2.937740998942864e-25
1365066057.67037,2.937712988217753e-25
1365097489.8398,2.9376829745254997e-25
1365128922.73299,2.9376549946152676e-25
1365160356.34995,2.9376249809230143e-25
1365191790.69071,2.9375960149366507e-25
1365223225.75528,2.937567018135408e-25
1365254661.54369,2.937537990519286e-25
1365286098.05593,2.937507976827033e-25
1365317535.29203,2.9374790108406693e-25
1365348973.25201,2.9374500140394266e-25
1365380411.93589,2.9374200003471733e-25
1365411851.34368,2.93738998665492e-25
1365443291.47539,2.9373609898536772e-25
1365474732.33104,2.937331006976303e-25
1365506173.91066,2.937302996251192e-25
1365537616.21426,2.937271996482807e-25
1365569059.24185,2.937243985757696e-25
1365600502.99345,2.937212985989311e-25
1365631947.46908,2.9371830031119367e-25
1365663392.66875,2.937154006310694e-25
1365694838.59249,2.93712402343332e-25
1365726285.2403,2.937094995817198e-25
1365757732.6122,2.937063996048813e-25
1365789180.70821,2.93703398235656e-25
1365820629.52836,2.937004985555317e-25
1365852079.07265,2.936975002677943e-25
1365883529.34109,2.9369449889856896e-25
1365914980.33372,2.9369150061083154e-25
1365946432.05054,2.9368840063399305e-25
1365977884.49157,2.936855009538688e-25
1366009337.65683,2.9368249958464345e-25
1366040791.54633,2.9367950129690603e-25
1366072246.16009,2.936764999276807e-25
1366103701.49813,2.9367349855845536e-25
1366135157.56047,2.9367039858161688e-25
1366166614.34712,2.936675019829805e-25
1366198071.85809,2.9366440200614203e-25
1366229530.09341,2.9366129894781563e-25
1366260989.05309,2.936583006600782e-25
1366292448.73715,2.936552992908529e-25
1366323909.1456,2.9365230100311546e-25
1366355370.27846,2.9364930271537804e-25
1366386832.13575,2.9364609796795057e-25
1366418294.71748,2.936432013693142e-25
1366449758.02368,2.936400983109878e-25
1366481222.05435,2.9363699833414933e-25
1366512686.80952,2.936340000464119e-25
1366544152.2892,2.9363090006957343e-25
1366575618.49341,2.9362780009273494e-25
1366607085.42216,2.9362490041261067e-25
1366638553.07547,2.9362189904338534e-25
1366670021.45336,2.9361889767416e-25
1366701490.55584,2.936158993864226e-25
1366732960.38294,2.936129997062983e-25
1366764430.93466,2.9361010002617404e-25
1366795902.21103,2.9360720034604977e-25
1366827374.21206,2.9360439927353866e-25
1366858846.93777,2.9360180157922967e-25
1366890320.38817,2.9359939801865907e-25
1366921794.56328,2.9359709922867745e-25
1366953269.46312,2.9359499765392214e-25
1366984745.08771,2.9359309945736895e-25
1367016221.43706,2.9359170046185735e-25
1367047698.51118,2.935906003706731e-25
1367079176.3101,2.935902028587326e-25
1367110654.83383,2.9359029838485783e-25
1367142134.08239,2.935911026532026e-25
1367173614.0558,2.935926988639405e-25
1367205094.75407,2.935952996397374e-25
1367236576.17721,2.935988988176175e-25
1367268058.32525,2.9360369977578286e-25
1367299541.1982,2.9360980112184668e-25
1367331024.79608,2.9361740007103525e-25
1367362509.1189,2.936264997048365e-25
1367393994.16669,2.936371000232504e-25
1367425479.93945,2.9364949993060434e-25
1367456966.43721,2.9366360081928517e-25
1367488453.65998,2.936794982154181e-25
1367519941.60778,2.9369689937765164e-25
1367551430.28063,2.9371619873643836e-25
1367582919.67853,2.9373700186132565e-25
1367614409.80152,2.9375919781874873e-25
1367645900.6496,2.9378270032704607e-25
