nu,I
1358450031.12276,0.0
1358481310.95079,0.0
1358512591.49908,0.0
1358543872.76764,0.0
1358575154.75648,0.0
1358606437.46562,0.0
1358637720.89509,-9.860761315262648e-32
1358669005.04489,0.0
1358700289.91504,0.0
1358731575.50556,0.0
1358762861.81647,0.0
1358794148.84777,-1.0168910106364605e-31
1358825436.59951,0.0
1358856725.07167,0.0
1358888014.26428,-1.0168910106364605e-31
1358919304.17737,-9.860761315262648e-32
1358950594.81094,-9.860761315262648e-32
1358981886.16501,0.0
1359013178.2396,0.0
1359044471.03472,0.0
1359075764.5504,0.0
1359107058.78664,-1.0168910106364605e-31
1359138353.74347,0.0
1359169649.4209,0.0
1359200945.81895,0.0
1359232242.93763,-1.0168910106364605e-31
1359263540.77696,-9.860761315262648e-32
1359294839.33696,0.0
1359326138.61765,0.0
1359357438.61903,0.0
1359388739.34114,0.0
1359420040.78398,0.0
1359451342.94757,0.0
1359482645.83192,-9.860761315262648e-32
1359513949.43706,-1.0168910106364605e-31
1359545253.763,0.0
1359576558.80976,0.0
1359607864.57735,-1.0168910106364605e-31
1359639171.06579,-1.0168910106364605e-31
1359670478.27509,-9.860761315262648e-32
1359701786.20529,0.0
1359733094.85638,-9.860761315262648e-32
1359764404.22839,0.0
1359795714.32133,0.0
1359827025.13522,0.0
1359858336.67008,-1.0168910106364605e-31
1359889648.92592,0.0
1359920961.90275,0.0
1359952275.60061,0.0
1359983590.0195,-9.860761315262648e-32
1360014905.15944,0.0
1360046221.02044,9.860761315262648e-32
1360077537.60253,-1.0168910106364605e-31
1360108854.90571,0.0
1360140172.93002,0.0
1360171491.67545,0.0
1360202811.14204,0.0
1360234131.32979,0.0
1360265452.23872,0.0
1360296773.86885,-1.0168910106364605e-31
1360328096.2202,0.0
1360359419.29277,0.0
1360390743.0866,-1.0168910106364605e-31
1360422067.6017,-9.860761315262648e-32
1360453392.83807,0.0
1360484718.79574,-9.860761315262648e-32
1360516045.47473,-1.0168910106364605e-31
1360547372.87504,0.0
1360578700.99672,0.0
1360610029.83975,0.0
1360641359.40416,0.0
1360672689.68997,-9.860761315262648e-32
1360704020.6972,0.0
1360735352.42586,0.0
1360766684.87597,-1.0168910106364605e-31
1360798018.04754,-9.860761315262648e-32
1360829351.94059,0.0
1360860686.55514,-9.860761315262648e-32
1360892021.89121,-9.860761315262648e-32
1360923357.9488,0.0
1360954694.72795,0.0
1360986032.22865,1.0168910106364605e-31
1361017370.45095,2.98904327368899e-31
1361048709.39483,4.992010415851715e-31
1361080049.06033,9.98402083170343e-31
1361111389.44746,1.7995889400354332e-30
1361142730.55624,3.198584451638321e-30
1361174072.38669,5.599063534322572e-30
1361205414.93881,9.601916330737003e-30
1361236758.21263,1.639967866244619e-29
1361268102.20816,2.7600887219002354e-29
1361299446.92543,4.6200748249916523e-29
1361330792.36444,7.639932977790838e-29
1361362138.52522,1.2529946143787805e-28
1361393485.40777,2.0339977254266924e-28
1361424833.01213,3.269982526536645e-28
1361456181.3383,5.207005827403551e-28
1361487530.38629,8.215000251745312e-28
1361518880.15613,1.283599952311027e-27
1361550230.64784,1.9869002641946692e-27
1361581581.86143,3.0462017929504922e-27
1361612933.79692,4.626197741470848e-27
1361644286.45431,6.959201483367503e-27
1361675639.83364,1.0369601251033488e-26
1361706993.93491,1.5304998570983952e-26
1361738348.75815,2.2375602005310635e-26
1361769704.30337,3.240280064562327e-26
1361801060.57058,4.6479598253960507e-26
1361832417.5598,6.604029803040969e-26
1361863775.27106,9.294440228446021e-26
1361895133.70437,1.2957049920867643e-25
1361926492.85973,1.7891890107803794e-25
1361957852.73717,2.4472259938515164e-25
1361989213.33671,3.3155720000296525e-25
1362020574.65836,4.449483993201279e-25
1362051936.70215,5.914623981777872e-25
1362083299.46808,7.787724003787094e-25
1362114662.95617,1.0156860009518321e-24
