nu,I
1360328096.22019,-1.0168910106364605e-31
1360359419.29277,0.0
1360390743.0866,-9.860761315262648e-32
1360422067.60169,0.0
1360453392.83807,0.0
1360484718.79574,0.0
1360516045.47473,-9.860761315262648e-32
1360547372.87505,0.0
1360578700.99672,0.0
1360610029.83975,0.0
1360641359.40416,0.0
1360672689.68997,-9.860761315262648e-32
1360704020.6972,0.0
1360735352.42586,0.0
1360766684.87597,-9.860761315262648e-32
1360798018.04754,-9.860761315262648e-32
1360829351.94059,0.0
1360860686.55514,-9.860761315262648e-32
1360892021.89121,0.0
1360923357.9488,0.0
1360954694.72795,0.0
1360986032.22866,0.0
1361017370.45095,0.0
1361048709.39483,0.0
1361080049.06033,-9.860761315262648e-32
1361111389.44747,-1.0168910106364605e-31
1361142730.55624,0.0
1361174072.38669,0.0
1361205414.93881,0.0
1361236758.21263,-1.0168910106364605e-31
1361268102.20816,0.0
1361299446.92543,0.0
1361330792.36444,0.0
1361362138.52522,-9.860761315262648e-32
1361393485.40777,-1.0168910106364605e-31
1361424833.01213,0.0
1361456181.3383,-1.0168910106364605e-31
1361487530.38629,-9.860761315262648e-32
1361518880.15613,-1.0168910106364605e-31
1361550230.64784,-1.0168910106364605e-31
1361581581.86143,0.0
1361612933.79691,-1.0168910106364605e-31
1361644286.45431,0.0
1361675639.83364,-1.0168910106364605e-31
1361706993.93491,0.0
1361738348.75815,-1.0168910106364605e-31
1361769704.30337,-9.860761315262648e-32
1361801060.57058,0.0
1361832417.5598,-9.860761315262648e-32
1361863775.27106,0.0
1361895133.70436,1.0168910106364605e-31
1361926492.85973,0.0
1361957852.73717,-1.0168910106364605e-31
1361989213.33671,0.0
1362020574.65837,-9.860761315262648e-32
1362051936.70215,0.0
1362083299.46808,0.0
1362114662.95617,-1.0168910106364605e-31
1362146027.16644,-9.860761315262648e-32
1362177392.09891,-1.0168910106364605e-31
1362208757.75359,-1.0168910106364605e-31
1362240124.1305,-1.0168910106364605e-31
1362271491.22965,0.0
1362302859.05107,-9.860761315262648e-32
1362334227.59477,0.0
1362365596.86076,-1.0168910106364605e-31
1362396966.84906,0.0
1362428337.55969,0.0
1362459708.99268,0.0
1362491081.14802,0.0
1362522454.02574,-1.0168910106364605e-31
1362553827.62585,-1.0168910106364605e-31
1362585201.94838,0.0
1362616576.99334,-1.0168910106364605e-31
1362647952.76074,0.0
1362679329.2506,-9.860761315262648e-32
1362710706.46294,0.0
1362742084.39778,-1.0168910106364605e-31
1362773463.05513,-1.0168910106364605e-31
1362804842.43501,0.0
1362836222.53744,0.0
1362867603.36242,1.0168910106364605e-31
1362898984.90999,2.98904327368899e-31
1362930367.18015,4.992010415851715e-31
1362961750.17292,1.1000911842339891e-30
1362993133.88831,1.9012780410990792e-30
1363024518.32636,3.201665939549341e-30
1363055903.48707,5.599063534322572e-30
1363087289.37045,9.601916330737003e-30
1363118675.97653,1.639967866244619e-29
1363150063.30532,2.779810244530761e-29
1363181451.35685,4.6401044964132796e-29
1363212840.13111,7.669823410527728e-29
1363244229.62813,1.2579866247946323e-28
1363275619.84794,2.0420095939953433e-28
1363307010.79054,3.284003296531784e-28
1363338402.45595,5.227990760077595e-28
