nu,I
1357511971.11714,0.0
1357543229.34529,0.0
1357574488.2932,-9.860761315262648e-32
1357605747.96089,-1.0168910106364605e-31
1357637008.34836,0.0
1357668269.45563,0.0
1357699531.28273,-9.860761315262648e-32
1357730793.82967,-1.0168910106364605e-31
1357762057.09646,0.0
1357793321.08312,-1.0168910106364605e-31
1357824585.78968,-1.0168910106364605e-31
1357855851.21613,-9.860761315262648e-32
1357887117.36251,-9.860761315262648e-32
1357918384.22883,-1.0168910106364605e-31
1357949651.8151,-1.0168910106364605e-31
1357980920.12134,-1.0168910106364605e-31
1358012189.14757,-9.860761315262648e-32
1358043458.8938,0.0
1358074729.36006,-9.860761315262648e-32
1358106000.54635,0.0
1358137272.45269,0.0
1358168545.07911,0.0
1358199818.42561,-1.0168910106364605e-31
1358231092.49222,-9.860761315262648e-32
1358262367.27894,0.0
1358293642.78581,-1.0168910106364605e-31
1358324919.01283,-9.860761315262648e-32
1358356195.96001,0.0
1358387473.62739,0.0
1358418752.01496,-1.0168910106364605e-31
1358450031.12276,0.0
1358481310.9508,-9.860761315262648e-32
1358512591.49908,0.0
1358543872.76764,-1.0168910106364605e-31
1358575154.75648,-9.860761315262648e-32
1358606437.46563,0.0
1358637720.89509,-1.0168910106364605e-31
1358669005.04489,-9.860761315262648e-32
1358700289.91504,-9.860761315262648e-32
1358731575.50556,-9.860761315262648e-32
1358762861.81647,0.0
1358794148.84778,-9.860761315262648e-32
1358825436.5995,0.0
1358856725.07167,0.0
1358888014.26429,-9.860761315262648e-32
1358919304.17737,-1.0168910106364605e-31
1358950594.81094,0.0
1358981886.16501,0.0
1359013178.2396,0.0
1359044471.03472,0.0
1359075764.5504,0.0
1359107058.78664,9.860761315262648e-32
1359138353.74347,0.0
1359169649.4209,0.0
1359200945.81895,-1.0168910106364605e-31
1359232242.93763,0.0
1359263540.77696,0.0
1359294839.33696,-1.0168910106364605e-31
1359326138.61765,-1.0168910106364605e-31
1359357438.61904,-1.0168910106364605e-31
1359388739.34114,0.0
1359420040.78398,-9.860761315262648e-32
1359451342.94756,0.0
1359482645.83192,0.0
1359513949.43706,0.0
1359545253.763,-1.0168910106364605e-31
1359576558.80976,-9.860761315262648e-32
1359607864.57735,-9.860761315262648e-32
1359639171.06579,0.0
1359670478.2751,-1.0168910106364605e-31
1359701786.20529,0.0
1359733094.85638,-9.860761315262648e-32
1359764404.22839,0.0
1359795714.32133,-9.860761315262648e-32
1359827025.13522,0.0
1359858336.67007,-1.0168910106364605e-31
1359889648.92591,-9.860761315262648e-32
1359920961.90275,-1.0168910106364605e-31
1359952275.60061,-1.0168910106364605e-31
1359983590.0195,0.0
1360014905.15944,1.0168910106364605e-31
1360046221.02044,9.860761315262648e-32
1360077537.60253,2.98904327368899e-31
1360108854.90572,4.992010415851715e-31
1360140172.93002,1.0014835710813626e-30
1360171491.67545,1.9012780410990792e-30
1360202811.14204,3.198584451638321e-30
1360234131.32979,5.5004559211699456e-30
1360265452.23872,9.601916330737003e-30
1360296773.86885,1.639967866244619e-29
1360328096.22019,2.7600887219002354e-29
1360359419.29278,4.6102140636763897e-29
1360390743.0866,7.630072216475576e-29
1360422067.60169,1.2500055711050916e-28
1360453392.83807,2.0290057150108407e-28
1360484718.79574,3.2630183638577407e-28
1360516045.47473,5.197021806571848e-28
1360547372.87505,8.197990438476484e-28
1360578700.99671,1.2809991765141265e-27
1360610029.83975,1.9826971146840385e-27
1360641359.40417,3.039900150172457e-27
1360672689.68998,4.616601988115933e-27
1360704020.6972,6.944700001258245e-27
1360735352.42586,1.0348101709878305e-26
1360766684.87597,1.5273299304843294e-26
1360798018.04754,2.2329299567959655e-26
1360829351.94059,3.2335799853973973e-26
