id,redshift
0,34.9950973367861
1,33.9980101129787
2,32.997215825794
3,31.9946368175291
4,30.999511781039
5,29.9986908068884
6,28.994619174578
7,27.9963512719089
8,26.9990536236083
9,25.998731029106
10,24.9982043052257
11,23.9944366314719
12,22.9962485860668
13,21.9955262236993
14,20.9959818325391
15,19.9963281791328
16,18.9960103239395
17,17.9995516360801
18,16.9987917582509
19,15.9997820059629
20,14.9971770826645
21,13.9983454507717
22,12.9972703967717
23,12.0
24,10.9989530029259
25,9.99875054699574
26,8.99869572372592
27,7.99794537494641
28,6.99914100347454
29,5.99911859379674
30,5.0
31,4.0
32,3.0
33,2.0
34,1.0
35,0.0
