redshift,absline,emiline
35.2947118076209,3.24231372690307e-26,1.72234406534793e-42
35.2863556034651,3.24051479359406e-26,1.72117274244982e-42
35.2780013231749,3.23871582372552e-26,1.72000168927536e-42
35.2696489663074,3.23691681734244e-26,1.71883090576241e-42
35.2612985324198,3.23511777449469e-26,1.71766039184891e-42
35.2529500210692,3.23331869522609e-26,1.71649014747277e-42
35.2446034318131,3.23151957958526e-26,1.71532017257193e-42
35.236258764209,3.22972042761607e-26,1.71415046708436e-42
35.2279160178144,3.22792123936896e-26,1.712981030948e-42
35.219575192187,3.22612201488598e-26,1.71181186410086e-42
35.2112362868846,3.22432275421581e-26,1.71064296648092e-42
35.202899301465,3.22252345740828e-26,1.7094743380262e-42
35.1945642354863,3.22072412450489e-26,1.70830597867473e-42
35.1862310885065,3.21892475555309e-26,1.70713788836453e-42
35.1778998600839,3.21712535060397e-26,1.70597006703367e-42
35.1695705497766,3.2153259097002e-26,1.70480251462022e-42
35.1612431571431,3.21352643288808e-26,1.70363523106225e-42
35.1529176817419,3.2117269202151e-26,1.70246821629787e-42
35.1445941231315,3.20992737173292e-26,1.70130147026519e-42
35.1362724808707,3.20812778747771e-26,1.70013499290232e-42
35.1279527545183,3.2063281675059e-26,1.69896878414742e-42
35.1196349436331,3.20452851185547e-26,1.69780284393863e-42
35.1113190477742,3.20272882058227e-26,1.69663717221412e-42
35.1030050665006,3.20092909372546e-26,1.69547176891207e-42
35.0946929993716,3.19912933133376e-26,1.69430663397069e-42
35.0863828459465,3.1973295334541e-26,1.69314176732818e-42
35.0780746057845,3.19552970013756e-26,1.69197716892276e-42
35.0697682784454,3.19372983142514e-26,1.69081283869268e-42
35.0614638634886,3.19192992736615e-26,1.68964877657619e-42
35.0531613604739,3.19012998800514e-26,1.68848498251155e-42
35.0448607689611,3.1883300133891e-26,1.68732145643706e-42
35.0365620885101,3.1865300035685e-26,1.686158198291e-42
35.0282653186809,3.18472995858379e-26,1.68499520801168e-42
35.0199704590336,3.18292987848728e-26,1.68383248553743e-42
35.0116775091285,3.18112976332295e-26,1.68267003080659e-42
35.0033864685259,3.17932961313837e-26,1.68150784375751e-42
34.9950973367861,3.1775294279811e-26,1.68034592432855e-42
34.9868101134697,3.17572920789517e-26,1.67918427245811e-42
34.9785247981373,3.17392895292932e-26,1.67802288808457e-42
34.9702413903496,3.17212866312819e-26,1.67686177114634e-42
34.9619598896675,3.1703283385429e-26,1.67570092158186e-42
34.9536802956519,3.16852797921454e-26,1.67454033932954e-42
34.9454026078638,3.16672758519248e-26,1.67338002432786e-42
34.9371268258644,3.16492715652548e-26,1.67221997651527e-42
34.9288529492147,3.16312669325642e-26,1.67106019583025e-42
34.9205809774763,3.16132619543585e-26,1.6699006822113e-42
34.9123109102105,3.15952566310551e-26,1.66874143559693e-42
34.9040427469788,3.1577250963165e-26,1.66758245592565e-42
34.8957764873429,3.15592449511646e-26,1.66642374313602e-42
34.8875121308645,3.15412385954655e-26,1.66526529716658e-42
34.8792496771054,3.15232318965965e-26,1.66410711795589e-42
34.8709891256276,3.15052248550046e-26,1.66294920544253e-42
34.8627304759931,3.1487217471125e-26,1.66179155956509e-42
34.8544737277641,3.14692097454577e-26,1.6606341802622e-42
34.8462188805027,3.14512016784728e-26,1.65947706747245e-42
34.8379659337713,3.14331932706063e-26,1.65832022113451e-42
34.8297148871324,3.14151845223633e-26,1.65716364118701e-42
34.8214657401484,3.13971754342205e-26,1.65600732756861e-42
34.8132184923821,3.13791660066077e-26,1.654851280218e-42
34.8049731433961,3.13611562400014e-26,1.65369549907387e-42
34.7967296927534,3.13431461348492e-26,1.65253998407492e-42
34.7884881400168,3.13251356916857e-26,1.65138473515988e-42
34.7802484847494,3.13071249109063e-26,1.65022975226747e-42
34.7720107265143,3.12891137930225e-26,1.64907503533646e-42
34.7637748648747,3.12711023384936e-26,1.6479205843056e-42
34.7555408993941,3.12530905477847e-26,1.64676639911367e-42
34.7473088296359,3.12350784213668e-26,1.64561247969947e-42
34.7390786551635,3.12170659596993e-26,1.64445882600178e-42
34.7308503755407,3.1199053163265e-26,1.64330543795944e-42
34.7226239903312,3.11810400325002e-26,1.64215231551128e-42
34.7143994990988,3.11630265679165e-26,1.64099945859615e-42
34.7061769014074,3.11450127699563e-26,1.6398468671529e-42
34.6979561968213,3.11269986391024e-26,1.63869454112042e-42
34.6897373849043,3.11089841758029e-26,1.6375424804376e-42
34.6815204652209,3.10909693805348e-26,1.63639068504333e-42
34.6733054373354,3.10729542537869e-26,1.63523915487654e-42
34.6650923008122,3.10549387959789e-26,1.63408788987615e-42
34.6568810552159,3.10371729586648e-26,1.63294699964558e-42
34.648671700111,3.10202614012478e-26,1.63184094060308e-42
34.6404642350625,3.10033492560529e-26,1.63073513625811e-42
34.632258659635,3.09864365235422e-26,1.62962958655202e-42
34.6240549733936,3.09695232041092e-26,1.62852429142619e-42
34.6158531759033,3.09526092981417e-26,1.627419250822e-42
34.6076532667292,3.09356948061133e-26,1.62631446468085e-42
34.5994552454367,3.09187797284006e-26,1.62520993294415e-42
