redshift,absline,emiline
35.2947118076209,3.24059526948621e-25,1.72143120645062e-41
35.2863556034651,3.23879728962846e-25,1.72026050436454e-41
35.2780013231749,3.2369992732316e-25,1.7190900718597e-41
35.2696489663074,3.23520122033927e-25,1.71791990887331e-41
35.2612985324198,3.23340313100173e-25,1.71675001534354e-41
35.2529500210692,3.23160500526264e-25,1.71558039120828e-41
35.2446034318131,3.22980684316963e-25,1.71441103640498e-41
35.236258764209,3.22800864476856e-25,1.7132419508727e-41
35.2279160178144,3.22621041010873e-25,1.71207313454885e-41
35.219575192187,3.22441213923127e-25,1.71090458737097e-41
35.2112362868846,3.2226138321869e-25,1.7097363092782e-41
35.202899301465,3.22081548902426e-25,1.70856830020794e-41
35.1945642354863,3.21901710978489e-25,1.7074005600983e-41
35.1862310885065,3.21721869451532e-25,1.70623308888687e-41
35.1778998600839,3.21542024326818e-25,1.70506588651258e-41
35.1695705497766,3.21362175608575e-25,1.70389895291332e-41
35.1612431571431,3.21182323301287e-25,1.70273228802645e-41
35.1529176817419,3.21002467409904e-25,1.70156589179119e-41
35.1445941231315,3.20822607939507e-25,1.70039976414522e-41
35.1362724808707,3.20642744893717e-25,1.69923390502676e-41
35.1279527545183,3.20462878278138e-25,1.69806831437378e-41
35.1196349436331,3.20283008096513e-25,1.69690299212418e-41
35.1113190477742,3.20103134354567e-25,1.69573793821692e-41
35.1030050665006,3.19923257056168e-25,1.69457315258998e-41
35.0946929993716,3.19743376206066e-25,1.69340863518095e-41
35.0863828459465,3.19563491809132e-25,1.69224438592902e-41
35.0780746057845,3.19383603870395e-25,1.69108040477207e-41
35.0697682784454,3.1920371239396e-25,1.68991669164839e-41
35.0614638634886,3.19023817384712e-25,1.68875324649604e-41
35.0531613604739,3.1884391884706e-25,1.68759006925308e-41
35.0448607689611,3.18664016785868e-25,1.68642715985874e-41
35.0365620885101,3.18484111206102e-25,1.6852645182509e-41
35.0282653186809,3.18304202111686e-25,1.68410214436728e-41
35.0199704590336,3.1812428950803e-25,1.68294003814723e-41
35.0116775091285,3.17944373399452e-25,1.68177819952868e-41
35.0033864685259,3.17764453790698e-25,1.68061662844998e-41
34.9950973367861,3.17584530686446e-25,1.67945532484913e-41
34.9868101134697,3.17404604091269e-25,1.67829428866545e-41
34.9785247981373,3.17224674009949e-25,1.6771335198369e-41
34.9702413903496,3.17044740446859e-25,1.67597301830146e-41
34.9619598896675,3.16864803407284e-25,1.6748127839985e-41
34.9536802956519,3.16684862895251e-25,1.67365281686609e-41
34.9454026078638,3.16504918915672e-25,1.67249311684258e-41
34.9371268258644,3.16324971473442e-25,1.67133368386658e-41
34.9288529492147,3.16145020572753e-25,1.67017451787612e-41
34.9205809774763,3.15965066218824e-25,1.6690156188106e-41
34.9123109102105,3.15785108415755e-25,1.66785698660819e-41
34.9040427469788,3.15605147168565e-25,1.66669862120696e-41
34.8957764873429,3.15425182482176e-25,1.66554052254635e-41
34.8875121308645,3.15245214360621e-25,1.66438269056451e-41
34.8792496771054,3.15065242809194e-25,1.66322512520008e-41
34.8709891256276,3.14885267832368e-25,1.66206782639171e-41
34.8627304759931,3.14705289434357e-25,1.66091079407728e-41
34.8544737277641,3.14525307620388e-25,1.65975402819669e-41
34.8462188805027,3.14345322394952e-25,1.65859752868746e-41
34.8379659337713,3.14165333762607e-25,1.65744129548934e-41
34.8297148871324,3.1398534172828e-25,1.65628532854035e-41
34.8214657401484,3.13805346296785e-25,1.65512962777947e-41
34.8132184923821,3.13625347472375e-25,1.65397419314518e-41
34.8049731433961,3.13445345259746e-25,1.65281902457584e-41
34.7967296927534,3.13265339663526e-25,1.65166412201102e-41
34.7884881400168,3.13085330688977e-25,1.65050948538904e-41
34.7802484847494,3.12905318340001e-25,1.64935511464839e-41
34.7720107265143,3.12725302621839e-25,1.64820100972856e-41
34.7637748648747,3.12545283539018e-25,1.64704717056799e-41
34.7555408993941,3.12365261096164e-25,1.64589359710537e-41
34.7473088296359,3.12185235298014e-25,1.64474028927969e-41
34.7390786551635,3.12005206149051e-25,1.6435872470292e-41
34.7308503755407,3.11825173654273e-25,1.64243447029368e-41
34.7226239903312,3.11645137817971e-25,1.64128195901161e-41
34.7143994990988,3.11465098645161e-25,1.64012971312137e-41
34.7061769014074,3.11285056140455e-25,1.63897773256285e-41
34.6979561968213,3.11105010308567e-25,1.63782601727439e-41
34.6897373849043,3.10924961153987e-25,1.63667456719494e-41
34.6815204652209,3.1074490868138e-25,1.63552338226291e-41
34.6733054373354,3.10564852895825e-25,1.63437246241828e-41
34.6650923008122,3.10384793801422e-25,1.63322180759952e-41
34.6568810552159,3.10207229588861e-25,1.63208152205139e-41
34.648671700111,3.10038203647591e-25,1.63097604923092e-41
34.6404642350625,3.09869171831657e-25,1.62987083097298e-41
34.632258659635,3.09700134145679e-25,1.62876586721897e-41
34.6240549733936,3.09531090593588e-25,1.62766115791029e-41
34.6158531759033,3.09362041179181e-25,1.62655670298793e-41
34.6076532667292,3.09192985907344e-25,1.62545250239412e-41
34.5994552454367,3.09023924781783e-25,1.62434855607e-41
34.591259111591,3.08854857806604e-25,1.62324486395642e-41
34.5830648647576,3.08685784986507e-25,1.62214142599587e-41
34.5748725045021,3.08516706325232e-25,1.62103824212938e-41
34.56668203039,3.08347621827092e-25,1.61993531229833e-41
34.5584934419873,3.08178531496278e-25,1.61883263644435e-41
34.5503067388596,3.08009435336905e-25,1.61773021450839e-41
34.5421219205729,3.07840333353217e-25,1.61662804643327e-41
34.5339389866934,3.07671225549209e-25,1.61552613215904e-41
34.5257579367871,3.0750211192919e-25,1.61442447162858e-41
34.5175787704203,3.07332992497612e-25,1.61332306478285e-41
