z,difference
5.2,-0.3586555941045898
5.20029800298003,-0.3485632387928729
5.20059600596006,-0.33848199863118067
5.2008940089400895,-0.3284159461200385
5.20119201192012,-0.31836912923819877
5.201490014900149,-0.30834556797371904
5.201788017880179,-0.2983492579318194
5.202086020860209,-0.28838415130872397
5.202384023840239,-0.2784541682346484
5.202682026820268,-0.268563174371167
5.202980029800298,-0.25871493939591655
5.203278032780328,-0.24891333060412282
5.203576035760358,-0.2391621611004572
5.203874038740388,-0.22946507634122779
5.204172041720417,-0.2198256472578153
5.2044700447004475,-0.2102473764885699
5.204768047680477,-0.20073369280703582
5.205066050660506,-0.1912879397732179
5.205364053640537,-0.18191338189150622
5.205662056620566,-0.1726131972698121
5.205960059600597,-0.163390474604947
5.206258062580626,-0.15424820724522484
5.2065560655606555,-0.14518990836645673
5.206854068540686,-0.1362180276411236
5.207152071520715,-0.12733511718243287
5.207450074500745,-0.11854376197669743
5.207748077480775,-0.1098464465854587
5.208046080460805,-0.10124554639150903
5.208344083440835,-0.09274331963709971
5.2086420864208645,-0.08434192120491689
5.208940089400894,-0.07604338740039328
5.209238092380924,-0.06784964361369696
5.209536095360954,-0.05976249290046946
5.209834098340983,-0.0517836255897224
5.210132101321014,-0.043916006867002574
5.210430104301043,-0.036159777774350255
5.210728107281073,-0.02851626573429182
5.211026110261103,-0.020986680567770026
5.211324113241132,-0.013572114009011824
5.211622116221163,-0.006273543284522071
5.211920119201192,0.0009081765359397944
5.212218122181222,0.007972302766811634
5.212516125161252,0.014918218292454401
5.212814128141281,0.021745409081783504
5.213112131121312,0.028453482368976594
5.213410134101341,0.0350421173599231
5.213708137081371,0.041509542501484135
5.214006140061401,0.047857321283313235
5.2143041430414305,0.054085510082873337
5.21460214602146,0.06019427427462187
5.21490014900149,0.06618387392566581
5.21519815198152,0.07205468368438006
5.21549615496155,0.07780716844874525
5.21579415794158,0.08344189842525647
5.216092160921609,0.08895953090324432
5.2163901639016395,0.0943608253727919
5.216688166881669,0.09964662368947785
5.216986169861698,0.104817856210161
5.217284172841729,0.10987407326729734
5.217582175821758,0.11481766129191946
5.217880178801789,0.11965000231453982
5.218178181781818,0.12437235633576008
5.2184761847618475,0.12898605564832127
5.218774187741878,0.13349249386204048
5.219072190721907,0.13789313940619002
5.219370193701937,0.1421895232758241
5.219668196681967,0.146383229090711
5.219966199661997,0.15047590708472305
5.220264202642027,0.15446925367882602
5.220562205622056,0.15836501919837942
5.220860208602086,0.16216421645115603
5.221158211582116,0.16586887422388305
5.221456214562146,0.1694815200933789
5.221754217542175,0.17300408177286994
5.2220522205222055,0.17643851461203683
5.222350223502235,0.1797868062390731
5.222648226482265,0.18305097199460757
5.222946229462295,0.18623305373927915
5.223244232442324,0.18933511359178992
5.223542235422355,0.19235923380321418
5.223840238402384,0.19530751377320896
5.2241382413824144,0.19818206503002267
5.224436244362444,0.20098497962152517
5.224734247342473,0.2037174407449593
5.225032250322504,0.20638262713021768
5.225330253302533,0.20898267849250876
5.225628256282563,0.21151973448383618
5.225926259262593,0.2139959362756614
5.2262242622426225,0.21641341077262494
5.226522265222653,0.21877428903049073
5.226820268202682,0.22108068115904145
5.227118271182712,0.22333469788453753
5.227416274162742,0.22553842793925596
5.227714277142772,0.22769394471929758
5.228012280122801,0.22980331036236729
5.228310283102831,0.23186837727952803
5.228608286082861,0.23389097952156263
5.228906289062891,0.23587354432501814
5.229204292042921,0.23781804186327338
5.22950229502295,0.23972641772836875
5.2298002980029805,0.24160059174223522
5.23009830098301,0.24344245032787862
5.2303963039630395,0.2452538551946515
5.23069430694307,0.24703663118350974
5.230992309923099,0.24879257934173002
5.23129031290313,0.2505234575582329
5.231588315883159,0.252230999633739
5.231886318863189,0.253916896016395
5.232184321843219,0.25558273284746447
5.232482324823248,0.2572301171532426
5.232780327803278,0.25886076974881883
5.233078330783308,0.26047623903152034
5.233376333763338,0.2620780322517721
5.233674336743368,0.2636676153314309
5.2339723397233975,0.2652464211575412
5.234270342703427,0.2668158369673259
5.234568345683457,0.268377212911764
5.234866348663487,0.2699318603383759
5.235164351643516,0.27148104548436264
5.235462354623547,0.27302600130566945
5.235760357603576,0.27456791462118413
5.236058360583606,0.27610795792180737
5.236356363563636,0.27764731660331265
5.236654366543665,0.279186991901481
5.236952369523696,0.28072801317357327
5.237250372503725,0.2822713626793431
5.237548375483755,0.2838179914229924
5.237846378463785,0.2853688066916057
5.2381443814438144,0.2869246764213532
5.238442384423845,0.2884864296837711
5.238740387403874,0.2900548572760439
5.239038390383904,0.2916307154754751
5.239336393363934,0.2932147167980978
5.2396343963439636,0.29480754292413175
5.239932399323993,0.29640983398736026
5.240230402304023,0.29802244711577053
5.240528405284053,0.2996457659411671
5.240826408264083,0.3012802771207482
5.241124411244113,0.30292648274824024
5.241422414224142,0.3045848480770861
5.2417204172041725,0.3062558048524721
5.242018420184202,0.3079397540346132
5.242316423164231,0.309637064112463
5.242614426144262,0.3089006745995642
5.242912429124291,0.30724690262546583
5.243210432104322,0.30562892580755646
5.243508435084351,0.30404659522200245
5.2438064380643805,0.30249972897063426
5.244104441044411,0.30098821114205265
5.24440244402444,0.29951202863019727
5.24470044700447,0.29807064913089176
5.2449984499845,0.29666380601448794
5.24529645296453,0.2952912253515381
5.24559445594456,0.2939526029285748
5.245892458924589,0.2926476218121332
5.246190461904619,0.2913759503195184
5.246488464884649,0.29013723951084053
5.246786467864679,0.28893112670097576
5.247084470844708,0.28775723726182434
5.2473824738247385,0.28661518177651557
5.247680476804768,0.2855045598632409
