freq,IL-IC
39.4559425012725,-3.591643018093079e-24
39.4568510183824,-3.59147665548245e-24
39.4577595564121,-3.5913102680910836e-24
39.4586681153619,-3.591143855006984e-24
39.4595766952321,-3.590977414592171e-24
39.4604852960234,-3.590810944974316e-24
39.4613939177364,-3.590644444882382e-24
39.4623025603713,-3.590477913991179e-24
39.4632112239288,-3.590311353208565e-24
39.4641199084092,-3.590144764169512e-24
39.465028613813,-3.589978148742962e-24
39.465937340141,-3.5898115082405784e-24
39.4668460873932,-3.589644842914387e-24
39.467754855570504,-3.5894781515213736e-24
39.4686636446731,-3.5893114335973585e-24
39.469572454701606,-3.589144686064051e-24
39.4704812856565,-3.5889779080092684e-24
39.4713901375382,-3.588811099183053e-24
39.4722990103473,-3.588644260438531e-24
39.4732079040841,-3.58847739346202e-24
39.4741168187493,-3.5883105000675434e-24
39.4750257543432,-3.588143581607201e-24
39.4759347108664,-3.587976638313648e-24
39.476843688319306,-3.587809669327549e-24
39.4777526867024,-3.587642673004154e-24
39.478661706016304,-3.587475647488814e-24
39.479570746261295,-3.5873085914393975e-24
39.480479807438,-3.5871415045986115e-24
39.4813888895468,-3.586974387867167e-24
39.48229799258829,-3.586807242871008e-24
39.4832071165629,-3.586640071464782e-24
39.484116261471,-3.5864728749507495e-24
39.4850254273134,-3.58630565364319e-24
39.4859346140901,-3.58613840662108e-24
39.486843821802,-3.585971132239104e-24
39.4877530504494,-3.585803828677033e-24
39.4886623000328,-3.585636494568283e-24
39.489571570552606,-3.585469129672678e-24
39.4904808620094,-3.585301734864221e-24
39.491390174403804,-3.585134311795751e-24
39.492299507736,-3.584966862324738e-24
39.4932088620066,-3.584799387727674e-24
39.4941182372161,-3.584631888288935e-24
39.495027633365,-3.584464363173074e-24
39.4959370504538,-3.584296810702801e-24
39.4968464884829,-3.584129228997137e-24
39.4977559474529,-3.583961616783351e-24
39.4986654273641,-3.583793973770672e-24
39.4995749282171,-3.583626300826898e-24
39.5004844500125,-3.583458599621043e-24
39.5013939927506,-3.5832908720026756e-24
