freq,IL-IC
39.4559425012725,-3.592274370402962e-24
39.4568510183824,-3.5921079840123646e-24
39.4577595564121,-3.591941569790951e-24
39.4586681153619,-3.5917751277669326e-24
39.4595766952321,-3.5916086579621274e-24
39.4604852960234,-3.5914421603443735e-24
39.4613939177364,-3.591275634942447e-24
39.4623025603713,-3.591109081751082e-24
39.4632112239288,-3.590942500818614e-24
39.4641199084092,-3.590775892019595e-24
39.465028613813,-3.590609255353085e-24
39.465937340141,-3.590442590960706e-24
39.4668460873932,-3.590275898784343e-24
39.467754855570504,-3.590109178401382e-24
39.4686636446731,-3.5899424310572824e-24
39.469572454701606,-3.589775655484015e-24
39.4704812856565,-3.589608852099304e-24
39.4713901375382,-3.5894420208130585e-24
39.4722990103473,-3.589275161828593e-24
39.4732079040841,-3.589108275122021e-24
39.4741168187493,-3.5889413605276444e-24
39.4750257543432,-3.588774418057125e-24
39.4759347108664,-3.588607447873715e-24
39.476843688319306,-3.5884404498376715e-24
39.4777526867024,-3.588273424064099e-24
39.478661706016304,-3.588106370438834e-24
39.479570746261295,-3.5879392890094596e-24
39.480479807438,-3.587772179798546e-24
39.4813888895468,-3.587605042747224e-24
39.48229799258829,-3.587437877841012e-24
39.4832071165629,-3.5872706851447966e-24
39.484116261471,-3.58710346469074e-24
39.4850254273134,-3.586936216413202e-24
39.4859346140901,-3.586768940321211e-24
39.486843821802,-3.5866016363690636e-24
39.4877530504494,-3.5864343046470375e-24
39.4886623000328,-3.5862669450782085e-24
39.489571570552606,-3.586099557722762e-24
39.4904808620094,-3.5859321425942394e-24
39.491390174403804,-3.585764699615717e-24
39.492299507736,-3.585597228884619e-24
39.4932088620066,-3.585429730237693e-24
39.4941182372161,-3.5852622037689785e-24
39.495027633365,-3.585094649502926e-24
39.4959370504538,-3.584927067452701e-24
39.4968464884829,-3.584759457567146e-24
39.4977559474529,-3.584591819883501e-24
39.4986654273641,-3.584424154410793e-24
39.4995749282171,-3.584256461046895e-24
39.5004844500125,-3.5840887398711775e-24
39.5013939927506,-3.583920990872731e-24
39.5023035564318,-3.583753214032748e-24
39.5032131410568,-3.583585409392041e-24
39.5041227466261,-3.583417576907917e-24
39.50503237314,-3.583249716587146e-24
39.5059420205991,-3.583081828559315e-24
39.5068516890038,-3.582913912626377e-24
39.5077613783546,-3.5827459688629984e-24
39.50867108865209,-3.582577997297392e-24
39.5095808198966,-3.582409997876331e-24
39.5104905720888,-3.582241970677116e-24
39.5114003452289,-3.5820739155758026e-24
39.5123101393176,-3.58190583264988e-24
39.5132199543554,-3.581737721882232e-24
39.5141297903427,-3.5815695833119804e-24
39.51503964728,-3.581401416962446e-24
39.515949525167706,-3.5812332227608426e-24
39.516859424006405,-3.58106500068855e-24
39.5177693437965,-3.58089675075328e-24
39.5186792845385,-3.580728473051705e-24
39.5195892462329,-3.580560167548466e-24
39.5204992288802,-3.580391834178676e-24
39.521409232481005,-3.5802234729286045e-24
39.5223192570355,-3.5800550838795025e-24
39.5232293025444,-3.5798866669930016e-24
39.524139369008,-3.579718222201581e-24
