nu,I
1360014905.15944,0.0
1360046221.02044,0.0
1360077537.60253,0.0
1360108854.90572,-9.860761315262648e-32
1360140172.93002,0.0
1360171491.67545,0.0
1360202811.14204,0.0
1360234131.32979,0.0
1360265452.23872,0.0
1360296773.86885,-9.860761315262648e-32
1360328096.22019,-1.0168910106364605e-31
1360359419.29277,-1.0168910106364605e-31
1360390743.0866,-1.0168910106364605e-31
1360422067.60169,-9.860761315262648e-32
1360453392.83807,-9.860761315262648e-32
1360484718.79574,-9.860761315262648e-32
1360516045.47473,0.0
1360547372.87505,0.0
1360578700.99672,-1.0168910106364605e-31
1360610029.83975,-9.860761315262648e-32
1360641359.40416,0.0
1360672689.68998,-9.860761315262648e-32
1360704020.6972,-1.0168910106364605e-31
1360735352.42586,0.0
1360766684.87597,-1.0168910106364605e-31
1360798018.04754,-9.860761315262648e-32
1360829351.94059,-1.0168910106364605e-31
1360860686.55514,0.0
1360892021.89121,0.0
1360923357.9488,-1.0168910106364605e-31
1360954694.72795,-9.860761315262648e-32
1360986032.22866,0.0
1361017370.45095,0.0
1361048709.39483,-9.860761315262648e-32
1361080049.06033,-1.0168910106364605e-31
1361111389.44747,-1.0168910106364605e-31
1361142730.55624,-9.860761315262648e-32
1361174072.38669,-1.0168910106364605e-31
1361205414.93881,-1.0168910106364605e-31
1361236758.21263,-9.860761315262648e-32
1361268102.20817,0.0
1361299446.92543,-1.0168910106364605e-31
1361330792.36444,0.0
1361362138.52522,-1.0168910106364605e-31
1361393485.40778,0.0
1361424833.01213,-9.860761315262648e-32
1361456181.33829,0.0
1361487530.38629,0.0
1361518880.15613,-9.860761315262648e-32
1361550230.64785,-9.860761315262648e-32
1361581581.86143,0.0
1361612933.79691,9.860761315262648e-32
1361644286.45431,0.0
1361675639.83364,0.0
1361706993.93491,0.0
1361738348.75815,0.0
1361769704.30337,0.0
1361801060.57058,-9.860761315262648e-32
1361832417.5598,0.0
1361863775.27106,-9.860761315262648e-32
1361895133.70436,0.0
1361926492.85973,-9.860761315262648e-32
1361957852.73717,0.0
1361989213.33672,0.0
1362020574.65837,0.0
1362051936.70215,-9.860761315262648e-32
1362083299.46808,0.0
1362114662.95617,0.0
1362146027.16645,0.0
1362177392.09891,-9.860761315262648e-32
1362208757.75359,0.0
1362240124.1305,0.0
1362271491.22966,0.0
1362302859.05107,-1.0168910106364605e-31
1362334227.59477,-9.860761315262648e-32
1362365596.86076,-9.860761315262648e-32
1362396966.84906,-9.860761315262648e-32
1362428337.55969,-1.0168910106364605e-31
1362459708.99268,-9.860761315262648e-32
1362491081.14802,0.0
1362522454.02574,9.860761315262648e-32
1362553827.62585,2.0029671421627253e-31
1362585201.94838,2.98904327368899e-31
1362616576.99334,4.992010415851715e-31
1362647952.76074,9.98402083170343e-31
1362679329.2506,1.7995889400354332e-30
1362710706.46294,3.201665939549341e-30
1362742084.39779,5.497374433258926e-30
1362773463.05513,9.70052394388963e-30
1362804842.43501,1.639967866244619e-29
1362836222.53743,2.769949483215498e-29
1362867603.36242,4.629935586306915e-29
1362898984.90999,7.669823410527728e-29
1362930367.18015,1.257000548663106e-28
1362961750.17292,2.040992702984707e-28
1362993133.88831,3.281014253258095e-28
1363024518.32636,5.225001716803906e-28
1363055903.48707,8.24301097685648e-28
1363087289.37045,1.2881020061490266e-27
1363118675.97653,1.993799715627442e-27
1363150063.30533,3.056700422263336e-27
1363181451.35685,4.6423015972938366e-27
1363212840.13111,6.983298718831676e-27
1363244229.62813,1.0405398896095803e-26
1363275619.84794,1.535800016305349e-26
1363307010.79054,2.2452999737171714e-26
1363338402.45595,3.2514902094338253e-26
1363369794.84419,4.664030093000809e-26
1363401187.95527,6.626869791437446e-26
1363432581.78921,9.32659000811927e-26
1363463976.34604,1.3001880023294738e-25
1363495371.62576,1.7953799973275298e-25
1363526767.62839,2.455692998184625e-25
1363558164.35394,3.327044009743829e-25
1363589561.80244,4.464878983545216e-25
1363620959.97391,5.935087002844426e-25
1363652358.86835,7.814666993337094e-25
1363683758.48578,1.0192000989506798e-24
1363715158.82623,1.316659399541561e-24
1363746559.88971,1.684814901447785e-24
1363777961.67623,2.1354786997153403e-24
1363809364.18581,2.681032499349079e-24
1363840767.41846,3.3340509003341075e-24
1363872171.37422,4.106815597985126e-24
1363903576.05308,5.0107239005863725e-24
1363934981.45507,6.0556045990160325e-24
1363966387.58021,7.248961199537612e-24
1363997794.42851,8.595175500923384e-24
1364029201.99998,1.009471159990465e-23
1364060610.29465,1.1743371499218568e-23
1364092019.31253,1.3531657399847938e-23
1364123429.05364,1.5444296501688957e-23
1364154839.51799,1.745998859887643e-23
1364186250.7056,1.9551420898659134e-23
1364217662.6165,2.1685589100114188e-23
1364249075.25068,2.3824445597455096e-23
1364280488.60818,2.5925872900492418e-23
1364311902.689,2.794496100073604e-23
1364343317.49317,2.98355412004918e-23
1364374733.0207,3.155190770009806e-23
1364406149.27161,3.305063950300116e-23
1364437566.24591,3.4292425001725405e-23
1364468983.94362,3.524377759934901e-23
1364500402.36476,3.587854329973118e-23
1364531821.50934,3.6179101298343065e-23
1364563241.37739,3.6137183198910396e-23
1364594661.96891,3.575425699762208e-23
1364626083.28393,3.504145069920786e-23
1364657505.32245,3.401902160151986e-23
1364688928.08451,3.271540700004077e-23
1364720351.5701,3.116591699914158e-23
1364751775.77926,2.9411156799515584e-23
1364783200.712,2.74952700004686e-23
1364814626.36833,2.5464117200207486e-23
1364846052.74827,2.3363484498887364e-23
1364877479.85184,2.1237424499476035e-23
1364908907.67905,1.9126805999305684e-23
1364940336.22993,1.7068135000472173e-23
1364971765.50448,1.509268489824239e-23
1365003195.50273,1.3225950099351272e-23
1365034626.22468,1.1487420598835147e-23
1365066057.67037,9.890646598833238e-24
1365097489.8398,8.443558798441133e-24
1365128922.73299,7.148988200662028e-24
1365160356.34995,6.005335297565951e-24
1365191790.69071,5.0073260024151615e-24
1365223225.75529,4.146805400890693e-24
1365254661.54369,3.4135206000146525e-24
1365286098.05593,2.7958539004059194e-24
1365317535.29203,2.2814786016188526e-24
1365348973.25201,1.857917799161077e-24
1365380411.93589,1.5129973015866435e-24
1365411851.34367,1.2351919003740801e-24
1365443291.47539,1.0138688999159984e-24
1365474732.33104,8.394405987853948e-25
1365506173.91066,7.034370991320124e-25
1365537616.21426,5.985174000388204e-25
1365569059.24185,5.184289006078878e-25
1365600502.99345,4.57934599808485e-25
1365631947.46908,4.1271610048210923e-25
1365663392.66875,3.7926580040642934e-25
1365694838.59248,3.547758015746056e-25
1365726285.24029,3.370299995701338e-25
1365757732.6122,3.2430220033204315e-25
1365789180.70821,3.152663995528791e-25
1365820629.52836,3.0891659928177066e-25
1365852079.07265,3.0449910147204944e-25
1365883529.34109,3.014568008427943e-25
1365914980.33372,2.99382201432652e-25
1365946432.05054,2.979814987767464e-25
1365977884.49157,2.9704500070422055e-25
1366009337.65683,2.964247002692202e-25
1366040791.54633,2.960175987383196e-25
1366072246.16009,2.9575280031914986e-25
1366103701.49814,2.9558179931050365e-25
1366135157.56047,2.954722000299724e-25
1366166614.34712,2.954022009505857e-25
1366198071.85809,2.9535750088694845e-25
1366229530.09341,2.953287999085452e-25
1366260989.05309,2.953103972627406e-25
1366292448.73715,2.9529800043687457e-25
1366323909.1456,2.952894000041149e-25
1366355370.27846,2.9528320005043795e-25
1366386832.13575,2.952783990922726e-25
1366418294.71749,2.9527439932096407e-25
1366449758.02368,2.95270800143084e-25
1366481222.05435,2.952677001662455e-25
1366512686.80952,2.9526460018940703e-25
1366544152.2892,2.952615988201817e-25
1366575618.49341,2.952588008291585e-25
1366607085.42216,2.9525579945993316e-25
1366638553.07547,2.952528997798089e-25
1366670021.45336,2.9525020039639884e-25
1366701490.55585,2.952471990271735e-25
1366732960.38294,2.952444010361503e-25
1366764430.93466,2.9524150135602603e-25
1366795902.21103,2.9523860167590176e-25
1366827374.21206,2.952356989142896e-25
1366858846.93777,2.952327992341653e-25
1366890320.38817,2.952300012431421e-25
1366921794.56328,2.9522710156301783e-25
1366953269.46312,2.9522419880140565e-25
1366984745.08771,2.9522140081038245e-25
1367016221.43706,2.952185011302582e-25
1367047698.51118,2.952156014501339e-25
1367079176.3101,2.9521270177000964e-25
1367110654.83383,2.952096973192964e-25
1367142134.08239,2.9520679763917213e-25
1367173614.0558,2.952039996481489e-25
1367205094.75407,2.9520089967131043e-25
1367236576.17721,2.9519799999118617e-25
1367268058.32525,2.9519519891867505e-25
1367299541.1982,2.951922992385508e-25
1367331024.79608,2.9518930095081336e-25
1367362509.1189,2.951864012706891e-25
1367393994.16669,2.9518339990146375e-25
1367425479.93945,2.9518059882895264e-25
1367456966.43721,2.951775974597273e-25
1367488453.65998,2.951745991719899e-25
1367519941.60778,2.9517180118096668e-25
1367551430.28063,2.9516879981174134e-25
1367582919.67854,2.95165798442516e-25
1367614409.80152,2.951628001547786e-25
1367645900.6496,2.9515980186704117e-25
1367677392.22279,2.9515680049781583e-25
1367708884.52111,2.951539994253047e-25
1367740377.54457,2.951510011375673e-25
1367771871.29321,2.951480983759551e-25
1367803365.76701,2.9514500148060454e-25
1367834860.96601,2.951420001113792e-25
1367866356.89023,2.9513909734976703e-25
1367897853.53967,2.951360990620296e-25
1367929350.91436,2.9513309769280427e-25
1367960849.01431,2.9513010248655476e-25
1367992347.83954,2.951270980358415e-25
1368023847.39006,2.9512400114049094e-25
1368055347.6659,2.9512110146036667e-25
1368086848.66707,2.9511809700965343e-25
1368118350.39358,2.951151018034039e-25
1368149852.84545,2.951119987450775e-25
1368181356.02271,2.9510889876823903e-25
1368212859.92536,2.9510600216960268e-25
1368244364.55342,2.951029021927642e-25
1368275869.90691,2.9509990082353886e-25
1368307375.98585,2.950970011434146e-25
1368338882.79025,2.9509379947747504e-25
1368370390.32013,2.9509089979735077e-25
1368401898.5755,2.950877998205123e-25
1368433407.55639,2.9508480153277486e-25
1368464917.26281,2.9508180016354953e-25
1368496427.69478,2.9507870018671104e-25
1368527938.8523,2.950756988174857e-25
1368559450.73541,2.9507249715154616e-25
1368590963.34411,2.9506950194529665e-25
1368622476.67842,2.950665005760713e-25
1368653990.73837,2.9506340059923283e-25
1368685505.52396,2.950603992300075e-25
1368717021.03521,2.9505719756406795e-25
