nu,I
1359075764.5504,-1.0168910106364605e-31
1359107058.78664,0.0
1359138353.74347,0.0
1359169649.4209,-1.0168910106364605e-31
1359200945.81895,0.0
1359232242.93763,-9.860761315262648e-32
1359263540.77696,-9.860761315262648e-32
1359294839.33697,-9.860761315262648e-32
1359326138.61765,0.0
1359357438.61904,0.0
1359388739.34114,-1.0168910106364605e-31
1359420040.78397,-9.860761315262648e-32
1359451342.94757,-9.860761315262648e-32
1359482645.83192,-1.0168910106364605e-31
1359513949.43706,0.0
1359545253.763,-1.0168910106364605e-31
1359576558.80976,-9.860761315262648e-32
1359607864.57735,0.0
1359639171.06579,0.0
1359670478.27509,-9.860761315262648e-32
1359701786.20528,0.0
1359733094.85638,0.0
1359764404.22839,0.0
1359795714.32133,0.0
1359827025.13522,0.0
1359858336.67008,-1.0168910106364605e-31
1359889648.92592,0.0
1359920961.90276,-9.860761315262648e-32
1359952275.60061,0.0
1359983590.0195,-9.860761315262648e-32
1360014905.15944,0.0
1360046221.02044,-9.860761315262648e-32
1360077537.60253,0.0
1360108854.90572,-9.860761315262648e-32
1360140172.93002,-9.860761315262648e-32
1360171491.67546,0.0
1360202811.14204,0.0
1360234131.32979,0.0
1360265452.23872,0.0
1360296773.86885,0.0
1360328096.2202,0.0
1360359419.29277,0.0
1360390743.0866,0.0
1360422067.60169,-1.0168910106364605e-31
1360453392.83807,-1.0168910106364605e-31
1360484718.79574,0.0
1360516045.47473,-1.0168910106364605e-31
1360547372.87505,0.0
1360578700.99671,0.0
1360610029.83975,-1.0168910106364605e-31
1360641359.40416,0.0
1360672689.68997,9.860761315262648e-32
1360704020.6972,0.0
1360735352.42586,0.0
1360766684.87597,0.0
1360798018.04754,9.860761315262648e-32
1360829351.94059,0.0
1360860686.55514,0.0
1360892021.8912,-1.0168910106364605e-31
1360923357.94881,-1.0168910106364605e-31
1360954694.72795,-9.860761315262648e-32
1360986032.22865,-9.860761315262648e-32
1361017370.45094,-1.0168910106364605e-31
1361048709.39483,0.0
1361080049.06033,0.0
1361111389.44746,-9.860761315262648e-32
1361142730.55624,0.0
1361174072.38668,0.0
1361205414.93881,0.0
1361236758.21263,0.0
1361268102.20816,0.0
1361299446.92543,0.0
1361330792.36444,0.0
1361362138.52522,0.0
1361393485.40777,-9.860761315262648e-32
1361424833.01213,-9.860761315262648e-32
1361456181.33829,-9.860761315262648e-32
1361487530.38629,0.0
1361518880.15614,-1.0168910106364605e-31
1361550230.64784,0.0
1361581581.86143,9.860761315262648e-32
1361612933.79691,1.0168910106364605e-31
1361644286.45431,3.019858152799186e-31
1361675639.83364,5.97808654737798e-31
1361706993.93491,1.0014835710813626e-30
1361738348.75815,1.8026704279464528e-30
1361769704.30336,3.198584451638321e-30
1361801060.57058,5.5004559211699456e-30
1361832417.55981,9.70052394388963e-30
1361863775.27106,1.639967866244619e-29
1361895133.70436,2.769949483215498e-29
1361926492.85973,4.630243735098017e-29
1361957852.73717,7.649793739106101e-29
1361989213.33671,1.254011505389417e-28
1362020574.65837,2.0369867687003814e-28
1362051936.70215,3.275005351831607e-28
1362083299.46808,5.214000804961566e-28
1362114662.95617,8.226001163587652e-28
1362146027.16644,1.2853995412510624e-27
1362177392.09891,1.9895996476047224e-27
1362208757.75359,3.050401860973212e-27
1362240124.1305,4.6326996809630996e-27
1362271491.22965,6.96880031821033e-27
1362302859.05107,1.0383899354940619e-26
1362334227.59476,1.5326199207811767e-26
1362365596.86076,2.2406500084594428e-26
1362396966.84906,3.2447599316873675e-26
1362428337.5597,4.65438010545866e-26
1362459708.99267,6.613150082811214e-26
1362491081.14801,9.307289724886181e-26
1362522454.02574,1.297496014490407e-25
1362553827.62585,1.7916630141646206e-25
1362585201.94838,2.4506099914307608e-25
1362616576.99334,3.320155990631206e-25
1362647952.76074,4.455635998926355e-25
1362679329.2506,5.922802004174685e-25
1362710706.46295,7.798489982991098e-25
1362742084.39778,1.0170902010965167e-24
1362773463.05513,1.3139337002247478e-24
