nu,I
1359701786.20529,0.0
1359733094.85638,0.0
1359764404.22838,0.0
1359795714.32133,0.0
1359827025.13522,0.0
1359858336.67008,-9.860761315262648e-32
1359889648.92591,-1.0168910106364605e-31
1359920961.90276,0.0
1359952275.60061,0.0
1359983590.0195,0.0
1360014905.15944,0.0
1360046221.02044,-9.860761315262648e-32
1360077537.60253,0.0
1360108854.90572,-1.0168910106364605e-31
1360140172.93002,-1.0168910106364605e-31
1360171491.67545,-9.860761315262648e-32
1360202811.14204,-9.860761315262648e-32
1360234131.32979,0.0
1360265452.23872,0.0
1360296773.86885,-9.860761315262648e-32
1360328096.22019,0.0
1360359419.29278,0.0
1360390743.0866,-9.860761315262648e-32
1360422067.60169,-1.0168910106364605e-31
1360453392.83807,-9.860761315262648e-32
1360484718.79574,-1.0168910106364605e-31
1360516045.47473,-9.860761315262648e-32
1360547372.87505,-9.860761315262648e-32
1360578700.99672,0.0
1360610029.83975,-9.860761315262648e-32
1360641359.40416,0.0
1360672689.68998,0.0
1360704020.6972,0.0
1360735352.42586,-9.860761315262648e-32
1360766684.87597,-1.0168910106364605e-31
1360798018.04754,-9.860761315262648e-32
1360829351.94059,0.0
1360860686.55514,0.0
1360892021.89121,-9.860761315262648e-32
1360923357.9488,0.0
1360954694.72795,0.0
1360986032.22866,0.0
1361017370.45095,-1.0168910106364605e-31
1361048709.39483,0.0
1361080049.06034,-1.0168910106364605e-31
1361111389.44747,-1.0168910106364605e-31
1361142730.55624,0.0
1361174072.38669,0.0
1361205414.93881,0.0
1361236758.21263,-9.860761315262648e-32
1361268102.20817,-9.860761315262648e-32
1361299446.92543,0.0
1361330792.36444,-9.860761315262648e-32
1361362138.52522,0.0
1361393485.40778,-1.0168910106364605e-31
1361424833.01213,0.0
1361456181.33829,0.0
1361487530.38629,-1.0168910106364605e-31
1361518880.15613,0.0
1361550230.64784,-9.860761315262648e-32
1361581581.86143,-1.0168910106364605e-31
1361612933.79691,0.0
1361644286.45431,0.0
1361675639.83364,0.0
1361706993.93491,-1.0168910106364605e-31
1361738348.75815,-9.860761315262648e-32
1361769704.30337,-1.0168910106364605e-31
1361801060.57058,-9.860761315262648e-32
1361832417.55981,0.0
1361863775.27106,0.0
1361895133.70436,0.0
1361926492.85973,0.0
1361957852.73718,-1.0168910106364605e-31
1361989213.33672,-1.0168910106364605e-31
1362020574.65837,-1.0168910106364605e-31
1362051936.70215,-9.860761315262648e-32
1362083299.46808,-1.0168910106364605e-31
1362114662.95617,-9.860761315262648e-32
1362146027.16645,-1.0168910106364605e-31
1362177392.09891,0.0
1362208757.75359,9.860761315262648e-32
1362240124.1305,9.860761315262648e-32
1362271491.22966,2.98904327368899e-31
1362302859.05107,4.992010415851715e-31
1362334227.59477,9.98402083170343e-31
1362365596.86076,1.7995889400354332e-30
1362396966.84906,3.198584451638321e-30
1362428337.5597,5.599063534322572e-30
1362459708.99268,9.70052394388963e-30
1362491081.14802,1.639967866244619e-29
1362522454.02574,2.769949483215498e-29
1362553827.62586,4.629935586306915e-29
1362585201.94838,7.659962649212465e-29
1362616576.99334,1.257000548663106e-28
1362647952.76074,2.0390205507216543e-28
1362679329.2506,3.278980471236822e-28
1362710706.46295,5.222012673530217e-28
1362742084.39779,8.237002075429991e-28
1362773463.05513,1.2871991301910979e-27
1362804842.43501,1.992400720115839e-27
